Vraiment	Rg	VRAIMENT
au	S+Da	À+LE
point	Nc	POINT
qu'	Pr	QUE
éclatent	Vvc	ÉCLATER
vos	Ds	VOTRE
vertus	Nc	VERTU
,	Fw	,
Que	Vvc	Que
vous	Pp	VOUS
avez	Vuc	AVOIR
grand	Ag	GRAND
tort	Nc	TORT
d'	S	DE
accuser	Vvn	ACCUSER
d'	S	DE
injustice	Nc	INJUSTICE
Un	Vvc	Un
coeur	Nc	CUR
reconnaissant	Ag	RECONNAISSANT
,	Fw	,
et	Cc	ET
qui	Pr	QUI
hait	Vvc	HAÏR
l'	Da	LE
artifice	Nc	ARTIFICE
!	Fs	!
Vos	Ds	VOTRE
services	Nc	SERVICE
m'	Pp	JE
ont	Vuc	AVOIR
plu	Ge	PLAIRE|PLEUVOIR
,	Fw	,
je	Pp	JE
ne	Rp	NE
le	Pp	IL
puis	Vvc	POUVOIR
cacher	Vvn	CACHER
,	Fw	,
Et	Vvc	Et
sans	S	SANS
qu'	Cs	QUE
il	Pp	IL
faille	Vvc	FAILLIR|FALLOIR
ici	Rg	ICI
davantage	Rg	DAVANTAGE
en	S	EN
parler	Vvn	PARLER
,	Fw	,
Je	Vvc	Je
les	Da	LE
sais	Nc	SAÏ
,	Fw	,
je	Pp	JE
les	Pp	ILS
crois	Vvc	CROIRE|CROÎTRE
,	Fw	,
j'	Pp	JE
ai	Vuc	AVOIR
pour	S	POUR
eux	Pp	EUX
de	S	DE
l'	Da	LE
estime	Nc	ESTIME
,	Fw	,
Ils	Vvc	Ils
sont	Vuc	ÊTRE
exempts	Ag	EXEMPT
de	S	DE
feinte	Nc	FEINTE
,	Fw	,
ils	Pp	ILS
sont	Vuc	ÊTRE
exempts	Ag	EXEMPT
de	S	DE
crime	Nc	CRIME
;	Fw	;
Celui	Pd	CELUI
qui	Pr	QUI
me	Pp	JE
les	Pp	ILS
rend	Vvc	RENDRE
les	Da	LE
grave	Nc	GRAVE
dans	S	DANS
mon	Ds	MON
coeur	Nc	CUR
;	Fw	;
Par	Nc	PAR
eux	Pp	EUX
il	Pp	IL
s'	Pp	SE
est	Vuc	ÊTRE
acquis	Ge	ACQUÉRIR
le	Da	LE
nom	Nc	NOM
de	S	DE
mon	Ds	MON
vainqueur	Nc	VAINQUEUR
,	Fw	,
Ce	Vvc	Ce
coeur	Nc	CUR
reconnaissant	Ga	RECONNAÎTRE
lui	Pp	IL
dit	Vvc	DIRE
bien	Rg	BIEN
qu'	Cs	QUE
il	Pp	IL
espère	Vvc	ESPÉRER
;	Fw	;
Mais	Vvc	Mais
enfin	Rg	ENFIN
je	Pp	JE
suis	Vuc	ÊTRE
fille	Nc	FILLE
,	Fw	,
et	Cc	ET
je	Pp	JE
dépends	Vvc	DÉPENDRE
d'	S	DE
un	Dn	UN
père	Nc	PÈRE
.	Fs	.
Ah	I	AH
!	Fs	!
père	Nc	PÈRE
trop	Rg	TROP
cruel	Ag	CRUEL
!	Fs	!
tyrannique	Ag	TYRANNIQUE
pouvoir	Nc	POUVOIR
,	Fw	,
Qui	Vvc	Qui
va	Vvc	ALLER
bientôt	Rg	BIENTÔT
réduire	Vvn	RÉDUIRE
une	Dn	UN
âme	Nc	ÂME
au	S+Da	À+LE
désespoir	Nc	DÉSESPOIR
.	Fs	.
Eh	I	EH
quoi	Pt	QUE|QUOI
!	Fs	!
par	S	PAR
une	Dn	UN
loi	Nc	LOI
si	Rg	SI
dure	Ag	DUR
et	Cc	ET
si	Rg	SI
barbare	Ag	BARBARE
,	Fw	,
Faudra-t-il	Vvc	Faudra-t-il
qu'	Cs	QUE
une	Dn	UN
Amour	Nc	AMOUR
si	Rg	SI
constante	Ag	CONSTANT
et	Cc	ET
si	Rg	SI
rare	Ag	RARE
...	Fs	...
Arrêtez	Vvc	Arrêtez
-vous	Nc	-vous
,	Fw	,
de	S	DE
grâce	Nc	GRÂCE
,	Fw	,
épargnez	Vvc	ÉPARGNER
un	Dn	UN
discours	Nc	DISCOURS
Qui	Vvc	Qui
n'	Rp	NE
a	Vuc	AVOIR
rien	Pi	RIEN
,	Fw	,
de	S	DE
commun	Nc	COMMUN
avec	S	AVEC
vos	Ds	VOTRE
amours	Nc	AMOUR
:	Fw	:
Vous	Pp	VOUS
m'	Pp	JE
outragez	Vvc	OUTRAGER
sans	S	SANS
doute	Nc	DOUTE
,	Fw	,
et	Cc	ET
vous	Pp	VOUS
feriez	Vvc	FAIRE|FERRER
un	Dn	UN
crime	Nc	CRIME
De	Vvc	De
cette	Dd	CE
passion	Nc	PASSION
que	Pr	QUE
je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
légitime	Ag	LÉGITIME
:	Fw	:
Réfléchissez	Vvc	Réfléchissez
un	Dn	UN
peu	Rg	PEU
sur	S	SUR
ces	Dd	CE
prompts	Ag	PROMPT
mouvements	Nc	MOUVEMENT
,	Fw	,
Vous	Nc	Vous
travaillez	Vvc	TRAVAILLER
fort	Rg	FORT
mal	Rg	MAL
à	S	À
vos	Ds	VOTRE
contentements	Nc	CONTENTEMENT
,	Fw	,
Et	Vvc	Et
vous	Pp	VOUS
obscurcissez	Vvc	OBSCURCIR
par	S	PAR
cette	Dd	CE
violence	Nc	VIOLENCE
...	Fs	...
Eh	Nc	Eh
bien	Rg	BIEN
donc	Rg	DONC
!	Fs	!
je	Pp	JE
m'	Pp	JE
impose	Vvc	IMPOSER
un	Dn	UN
éternel	Ag	ÉTERNEL
silence	Nc	SILENCE
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
et	Cc	ET
je	Pp	JE
suis	Vuc	ÊTRE
prêt	Ag	PRÊT
de	S	DE
brûler	Vvn	BRÛLER
,	Fw	,
de	S	DE
souffrir	Vvn	SOUFFRIR
,	Fw	,
Que	Vvc	Que
dis	Vvc	DIRE
-je	Nc	-je
de	S	DE
brûler	Vvn	BRÛLER
?	Fs	?
je	Pp	JE
suis	Vuc	ÊTRE
prêt	Ag	PRÊT
à	S	À
mourir	Vvn	MOURIR
.	Fs	.
Oui	Rg	OUI
,	Fw	,
je	Pp	JE
mourrai	Vvc	MOURIR
plutôt	Rg	PLUTÔT
qu'	Cs	QUE
un	Dn	UN
insolent	Ag	INSOLENT
murmure	Nc	MURMURE
Choque	Vvc	CHOQUER
ce	Pd	CE
que	Pr	QUE
l'	Pp	IL
on	Pp	ON
doit	Vvc	DEVOIR
aux	S+Da	À+LES
lois	Nc	LOI
de	S	DE
la	Da	LE
Nature	Nc	NATURE
;	Fw	;
Et	Vvc	Et
plutôt	Rg	PLUTÔT
qu'	Cs	QUE
irriter	Vvn	IRRITER
un	Dn	UN
chef-d'oeuvre	Nc	chef-d'oeuvre
si	Rg	SI
beau	Ag	BEAU
,	Fw	,
À	Nc	À
vos	Ds	VOTRE
pieds	Nc	PIED
maintenant	Rg	MAINTENANT
je	Pp	JE
ferai	Vvc	FAIRE|FERRER
mon	Ds	MON
tombeau	Nc	TOMBEAU
.	Fs	.
Ah	I	AH
!	Fs	!
ne	Rp	NE
triomphez	Vvc	TRIOMPHER
pas	Rg	PAS
ici	Rg	ICI
de	S	DE
ma	Ds	MON
faiblesse	Nc	FAIBLESSE
,	Fw	,
Mourir	Nc	MOURIR
!	Fs	!
ce	Dd	CE
mot	Nc	MOT
me	Pp	JE
choque	Vvc	CHOQUER
,	Fw	,
et	Cc	ET
bien	Rg	BIEN
plus	Rg	PLUS
,	Fw	,
il	Pp	IL
me	Pp	JE
blesse	Vvc	BLESSER
.	Fs	.
Je	Pp	JE
vous	Pp	VOUS
aime	Vvc	AIMER
,	Fw	,
et	Cc	ET
mon	Ds	MON
coeur	Nc	CUR
,	Fw	,
prêt	Ag	PRÊT
à	S	À
vous	Pp	VOUS
secourir	Vvn	SECOURIR
,	Fw	,
Vous	Nc	Vous
défend	Vvc	DÉFENDRE
de	S	DE
jamais	Rg	JAMAIS
me	Pp	JE
parler	Vvn	PARLER
de	S	DE
mourir	Vvn	MOURIR
.	Fs	.
Cet	Dd	CE
aveu	Nc	AVEU
dit	Vvc	DIRE
assez	Rg	ASSEZ
que	Cs	QUE
mon	Ds	MON
âme	Nc	ÂME
ingénue	Ag	INGÉNU
,	Fw	,
En	Vvc	En
choquant	Ga	CHOQUER
mon	Ds	MON
devoir	Nc	DEVOIR
,	Fw	,
se	Pp	IL
montre	Vvc	MONTRER
toute	Di	TOUT
nue	Ag	NU
,	Fw	,
Et	Vvc	Et
qu'	Cs	QUE
enfin	Rg	ENFIN
,	Fw	,
mon	Ds	MON
amour	Nc	AMOUR
veut	Vvc	VOULOIR
exiger	Vvn	EXIGER
de	S	DE
moi	Pp	JE
En	Vvc	En
faveur	Nc	FAVEUR
de	S	DE
Philippe	Vvc	Philippe
une	Dn	UN
sincère	Ag	SINCÈRE
foi	Nc	FOI
,	Fw	,
Et	Vvc	Et
