idno,author,author-gender,title,pub-year,creation,genre,subgenre,series,words,sents,mean,median,stdev
rv1229,Malet,male,RebeccaRosiers,1957,1957,novel,policier,autre,57478,5794,9.9202623404,7,9.1653882968
rv1254,BoilNarc,male,Magiciennes,1957,1957,novel,policier,autre,50793,5636,9.0122427253,7,7.709369504
rv0190,Simon,male,Herbe,1958,1958,novel,blanche,autre,62481,1227,50.9217603912,8,144.9332153454
rv0214,Duras,female,ModeratoCantabile,1958,1958,novel,blanche,autre,19372,1712,11.3154205607,9,8.4105266463
rv0537,Giono,male,Angelo,1958,1958,novel,blanche,autre,59568,3772,15.7921527041,13,12.3308604199
rv1206,Dard,male,TueurTriste,1958,1958,novel,policier,autre,33743,3625,9.3084137931,8,6.3536509923
rv1207,Dard,male,SalePeau,1958,1958,novel,policier,autre,30852,2835,10.8825396825,9,7.3633796616
rv1252,BoilNarc,male,IngenieurChiffres,1958,1958,novel,policier,autre,47116,5841,8.0664269817,7,6.2029013089
rv0111,Dard,male,Coma,1959,1959,novel,blanche,autre,35581,3474,10.242084053,9,7.0354683159
rv1139,Malet,male,EnvahissantCadavre,1959,1959,novel,policier,autre,58926,5821,10.1230029205,7,9.6471321411
rv1251,BoilNarc,male,CoeurPerdu,1959,1959,novel,policier,autre,50350,6212,8.105280103,7,6.005137675
rv0192,Simon,male,RouteFlandres,1960,1960,novel,blanche,autre,95070,1281,74.2154566745,12,175.7272177599
rv0503,Celine,male,Nord,1960,1960,novel,blanche,autre,149149,27539,5.4159192418,4,5.0888473518
rv0560,Camus,male,PremierHomme,1960,1960,novel,blanche,autre,88016,4523,19.4596506743,11,27.8873455701
rv1102,Dard,male,SiropGuepes,1960,1960,novel,policier,autre,43041,4248,10.1320621469,8,8.3181912308
rv1191,Dard,male,SanAntonioRenvoie,1960,1960,novel,policier,autre,37722,3666,10.2896890344,8,8.2379431356
rv0196,RobbeGrillet,male,Marienbad,1961,1961,film-script,blanche,autre,43993,3225,13.6412403101,9,14.590619425
rv1106,Dard,male,SanAntonioMac,1961,1961,novel,policier,autre,54281,4685,11.5861259338,9,9.7291220595
