,idno,author-name,author-gender,title,year,supergenre,genre,subgenre,subsubgenre,narration,protagonist-policier,decade
rf1187,rf1187,Vargas,female,SansFeu,1997,narrative,novel,policier,noir,heterodiegetic,detective,1990s
rf1095,rf1095,Vargas,female,HommeEnvers,1999,narrative,novel,policier,noir,heterodiegetic,detective,1990s
rf1099,rf1099,Vargas,female,ParsVite,2001,narrative,novel,policier,noir,heterodiegetic,detective,2000s
rf1098,rf1098,Vargas,female,VentsNeptune,2004,narrative,novel,policier,noir,heterodiegetic,detective,2000s
rf1094,rf1094,Vargas,female,BoisEternels,2006,narrative,novel,policier,noir,heterodiegetic,detective,2000s
rf1097,rf1097,Vargas,female,LieuIncertain,2008,narrative,novel,policier,noir,heterodiegetic,detective,2000s
rf0540,rf0540,VianSullivan,male,JiraiCracher,1946,narrative,novel,policier,noir,homodiegetic,criminal,1940s
rf0545,rf0545,VianSullivan,male,MortMemePeau,1947,narrative,novel,policier,noir,homodiegetic,criminal,1940s
rf0539,rf0539,VianSullivan,male,OnTueraAffreux,1948,narrative,novel,policier,other,homodiegetic,detective,1940s
rf0538,rf0538,VianSullivan,male,EllesPasCompte,1950,narrative,novel,policier,noir,homodiegetic,detective,1950s
rf0735,rf0735,Zola,male,MysteresMarseille,1867,narrative,novel,policier,archaique,n.av.,n.av.,1860s
rf0057,rf0057,Zola,male,BeteHumaine,1890,narrative,novel,policier,litteraire,heterodiegetic,criminal,1890s
